Total Margin (bin),Hospital,Total Margin
-0.10,MUSC Health Chester Medical Center,-0.087
-0.05,Union Medical Center,-0.037
-0.05,Kershaw Medical Center,-0.009
0.00,McLeod Health Clarendon,0
0.00,McLeod Health Cheraw,0.047
0.05,Cherokee Medical Center,0.052
0.20,McLeod Medical Center - Dillon,0.231
0.25,Coastal Carolina Hospital,0.296
-0.15,Sanford Aberdeen Medical Center,-0.133
-0.30,Ascension Saint Thomas Stones River Hospital,-0.266
-0.20,Ascension Saint Thomas DeKalb,-0.172
-0.15,Vanderbilt Bedford Hospital,-0.148
-0.15,Saint Thomas Highlands Hospital,-0.144
-0.15,Unicoi County  Hospital,-0.131
-0.15,West Tennessee Healthcare Volunteer Hospital,-0.109
-0.10,Vanderbilt Wilson County Hospital,-0.087
-0.10,Baptist Memorial Hospital - Carroll County,-0.065
-0.05,Greeneville Community Hospital,-0.05
-0.05,Ascension Saint Thomas River Park Hospital,-0.04
-0.05,Lincoln Medical Center,-0.017
-0.05,Hawkins County Memorial Hospital,-0.013
-0.05,Claiborne Medical Center,-0.009
0.00,Livingston Regional Hospital,0.007
0.00,Sweetwater Hospital Association,0.012
0.00,Baptist Memorial Hospital Union City,0.024
0.00,Tennova Healthcare - Newport Medical Center,0.025
0.00,Henry County Medical Center,0.033
0.00,Southern Tennessee Regional Health System Lawrence,0.043
0.00,Tristar Northcrest Medical Center,0.045
0.05,Unity Medical Center,0.061
0.05,Southern Tennessee Regional Health System Pulaski,0.067
0.05,Baptist Memorial Hospital Tipton,0.081
0.05,Southern Tennessee Regional Hlth System Winchester,0.087
0.05,Hardin Medical Center,0.088
0.05,Tristar Horizon Medical Center,0.092
0.05,West Tennessee Healthcare Milan Hospital,0.097
0.10,Leconte Medical Center,0.146
0.15,Henderson County Community Hospital,0.19
0.15,Starr Regional Medical Center Athens,0.191
-0.25,Bellville Medical Center,-0.222
-0.25,Seton Smithville Regional Hospital,-0.206
-0.10,Covenant Hospital Levelland,-0.098
-0.10,Ennis Regional Medical Center,-0.07
-0.05,Baylor Scott & White Medical Center - Marble Falls,-0.039
-0.05,Hunt Regional Healthcare,-0.031
-0.05,Wise Regional Health System,-0.024
-0.05,Huntsville Memorial Hospital,-0.023
0.00,Texas Health Harris Methodist Hospital Cleburne,0.005
0.00,Parkview Regional Hospital,0.006
0.00,Freestone Medical Center,0.032
0.00,Glen Rose Medical Center,0.039
0.05,Palo Pinto General Hospital,0.066
0.10,Guadalupe Regional Medical Center,0.101
0.10,Connally Memorial Medical Center,0.103
0.10,Cleveland Emergency Hospital,0.104
0.10,Hill Country Memorial Hospital,0.133
0.10,UT Health East Texas Henderson Hospital,0.134
0.15,Medical City Weatherford,0.152
0.15,Ascension Seton Bastrop,0.157
0.15,Hereford Regional Medical Center,0.161
0.15,UT Health East Texas Athens Hospital,0.165
0.15,University of Texas Medical Branch,0.185
0.20,Cuero Regional Hospital,0.217
0.55,Lake Granbury Medical Center,0.594
0.10,Bear River Valley Hospital,0.15
0.20,Park City Hospital,0.221
0.65,Mountain West Medical Center,0.655
-0.30,Southern Virginia Regional Medical Center,-0.294
-0.20,Carilion Tazewell Community Hospital,-0.182
-0.05,Warren Memorial Hospital,-0.038
-0.05,Lewisgale Hospital Pulaski,-0.014
0.05,UVA Health Culpeper Medical Center,0.058
0.05,Carilion Franklin Memorial Hospital,0.085
0.05,Russell County Hospital,0.09
0.05,Clinch Valley Medical Center,0.091
0.15,Smyth County Community Hospital,0.155
-0.05,Brattleboro Memorial Hospital,-0.009
-0.10,Astria Toppenish Hospital,-0.062
0.00,Island Hospital,0.037
-0.20,Aspirus Divine Savior Hospital,-0.154
-0.15,Froedtert Holy Family Memorial Hospital,-0.122
-0.05,Marshfield Medical Center - Minocqua,-0.045
0.00,Sauk Prairie Hospital,0.02
0.00,SSM Health Monroe Hospital,0.046
0.00,Fort Memorial Hospital,0.048
0.05,Watertown Regional Medical Center,0.063
0.15,Aurora Lakeland Medical Center,0.198
0.20,Aspirus Riverview Hospital & Clinics Inc,0.2
0.20,Aurora Medical Center Burlington,0.245
0.30,SSM Health St Clare Hospital - Baraboo,0.326
0.30,Aurora Medical Ctr Manitowoc County,0.336
-0.15,Rivers Health,-0.103
0.00,Stonewall Jackson Memorial Hospital,0.013
0.10,Ascension Borgess Pipp Hospital,0.137
0.25,"United Hospital Center, Inc",0.271
-0.15,Alliance Healthcare System,-0.125
0.00,Jefferson County Hospital,0.009
-0.10,Stillwater Medical-Blackwell,-0.058
0.05,Tristar Ashland City Medical Center,0.055
-0.20,CHI St Lukes Health Memorial San Augustine,-0.155
-0.20,Crosbyton Clinic Hospital,-0.151
-0.15,Falls Community Hospital and Clinic,-0.123
-0.10,Anson General Hospital,-0.084
-0.10,Greenwood Leflore Hospital,-0.099
-0.05,Anderson Regional Medical Center,-0.034
-0.05,Southwest MS Regional Medical Center,-0.031
0.00,Magnolia Regional Health Center,0.016
0.00,Anderson RMC South,0.039
0.05,Ochsner Rush Hospital,0.059
0.05,Baptist Memorial Hospital North MS,0.077
0.10,BMH-Golden Triangle,0.112
-0.05,Randolph Hospital,-0.048
0.00,Wilson Medical Center,0.045
0.05,Columbus Regional Healthcare System,0.076
0.10,FirstHealth Moore Regional Hospital,0.1
0.20,Atrium Health Cleveland,0.215
0.20,CHI Health Good Samaritan,0.215
-0.05,Cheshire Medical Center,-0.01
1.40,Eastern New Mexico Medical Center,1.415
-0.05,Columbia Memorial Hospital,-0.018
-0.05,Union Hospital,-0.039
0.00,Community Hospitals and Wellness Centers,0
0.00,Marietta Memorial Hospital,0.009
0.00,Wooster Community Hospital,0.024
0.05,Firelands Regional Medical Center,0.092
0.10,Fisher-Titus Hospital,0.113
0.15,Adena Regional Medical Center,0.152
0.25,Marion General Hospital,0.266
0.25,Holzer Medical Center,0.281
0.35,Blanchard Valley Hospital,0.387
0.00,SSM Health St Anthony Hospital - Shawnee,0.04
0.05,Saint Francis Hospital Muskogee,0.098
0.30,Alliancehealth Durant,0.326
-0.15,UPMC Jameson,-0.145
-0.10,UPMC Northwest,-0.058
0.00,ACMH Hospital,0.031
0.05,Lehigh Valley Hospital-Schuylkill,0.058
0.10,Robert Packer Hospital,0.144
0.20,Wellspan Waynesboro Hospital,0.205
0.20,Evangelical Community Hospital,0.212
0.05,Carolina Pines Regional Medical Center,0.059
0.10,Tidelands Health,0.102
0.00,Avera St Lukes,0.012
-0.10,Vanderbilt Tullahoma-Harton Hospital,-0.097
0.00,Maury Regional Hospital,0.028
-0.05,CHI St Lukes Health Memorial Lufkin,-0.011
-0.05,Nacogdoches Memorial Hospital,-0.006
0.10,Peterson Regional Medical Center,0.115
0.10,Nacogdoches Medical Center,0.12
0.15,Woodland Heights Medical Center,0.16
0.15,Navarro Regional Hospital,0.174
0.40,Laredo Medical Center,0.439
0.10,Sovah Health Danville,0.13
-0.15,Marshfield Medical Center - Beaver Dam,-0.106
-0.05,Aspirus Stevens Point Hospital,-0.048
-0.05,Mayo Clinic Health System - Fairmont,-0.048
-0.05,Sanford Worthington Medical Center,-0.019
-0.05,Winona Health Services,-0.003
0.00,Sanford Bemidji Medical Center,0.02
0.00,Lake Region Healthcare Corporation,0.04
0.00,Centracare- Rice Memorial Hospital,0.041
0.00,Alomere Health,0.048
0.05,Hutchinson Health,0.064
0.05,Grand Itasca Clinic and Hospital,0.089
0.10,Essentia Health St Marys - Detroit Lakes,0.105
0.10,Essentia Health St Joseph's Medical Center,0.114
-0.10,Fitzgibbon Hospital,-0.056
-0.05,Bothwell Regional Health Center,-0.041
-0.05,Lake Regional Health System,-0.021
-0.05,Parkland Health Center,-0.003
-0.05,Mosaic Medical Center - Maryville,-0.001
0.00,Missouri Delta Medical Center,0.005
0.00,Hannibal Regional Hospital,0.005
0.00,Bates County Memorial Hospital,0.006
0.00,Western Missouri Medical Center,0.009
0.00,Citizens Memorial Hospital,0.021
0.00,Nevada Regional Medical Center,0.027
0.00,Golden Valley Memorial Hospital,0.049
0.05,Texas County Memorial Hospital,0.061
0.05,Ozarks Healthcare,0.061
0.10,Cox Medical Center Branson,0.101
0.20,Poplar Bluff Regional Medical Center,0.229
0.20,Phelps Health,0.242
0.25,Mercy Hospital Lebanon,0.25
0.30,Moberly Regional Medical Center,0.321
0.80,Northeast Regional Medical Center,0.821
-0.30,Winston Medical Center & Swingbed,-0.255
-0.10,Delta Health-Northwest Regional,-0.074
-0.05,Neshoba County General Hospital,-0.009
-0.05,Delta Health System - the Medical Center,-0.008
0.00,Bolivar Medical Center,0
0.00,Webster General Hospital/ Swing Bed,0.015
0.00,King's Daughters Medical Center-Brookhaven,0.023
0.00,North Mississippi Medical Center,0.029
0.05,South Sunflower County Hospital,0.062
0.05,South Central Reg Med Ctr,0.065
0.05,Merit Health Natchez,0.087
0.10,Wayne General Hospital,0.112
0.10,Merit Health River Region,0.134
0.15,George Regional Health System,0.181
-0.05,St Peters Health,-0.007
-0.05,Bozeman Health Deconess Regional Medical Center,-0.004
0.05,Logan Health Medical Center,0.056
0.05,St James Healthcare,0.072
0.05,Northern Montana Hospital,0.09
-0.15,ECU Health North Hospital,-0.11
-0.15,Southeastern Regional Medical Center,-0.109
-0.05,UNC Lenoir Health Care,-0.044
-0.05,Vidant Roanoke Chowan Hospital,-0.024
-0.05,Rutherford Regional Medical Center,-0.022
0.05,Sentara Albemarle Medical Center,0.05
0.05,Watauga Medical Center,0.068
0.10,Carteret General Hospital,0.13
0.00,Trinity Hospitals,0.014
0.00,Faith Regional Health Services,0.025
0.05,"Columbus Community Hospital, Inc",0.08
0.05,Regional West Medical Center,0.09
0.10,Methodist Fremont Health,0.129
0.15,Great Plains Health,0.157
-0.15,Concord Hospital- LAC+onia,-0.102
0.05,Mary Hitchcock Memorial Hospital,0.07
-0.05,Rehoboth McKinley Christian Health Care Services,-0.006
-0.05,Covenant Health Hobbs Hospital,-0.004
-0.05,Artesia General Hospital,-0.001
0.05,Presbyterian Espanola Hospital,0.094
0.10,Guadalupe County Hospital,0.11
0.10,Gerald Champion Regional Medical Center,0.144
0.15,Los Alamos Medical Center,0.17
0.40,Carlsbad Medical Center,0.425
0.30,Northeastern Nevada Regional Hospital,0.328
-0.10,Garnet Health  Medical Center Catskills - (CSK),-0.086
-0.10,"Brooks-TLC Hospital System, Inc",-0.072
-0.05,Wyoming County Community Hospital,-0.05
-0.05,Olean General Hospital,-0.045
-0.05,Claxton-Hepburn Medical Center,-0.044
-0.05,Adirondack Medical Center - Saranac Lake,-0.034
-0.05,The University of Vermont Health Network-Alice Hy,-0.033
-0.05,Mary Imogene Bassett Hospital,-0.033
-0.05,Oswego Hospital,-0.029
-0.05,Aurelia Osborn Fox Memorial Hospital,-0.013
0.00,The University of Vermont Health Network  - Champl,0.009
0.00,Auburn  Community  Hospital,0.012
0.00,"Slhs Massena, Inc",0.024
0.00,Guthrie Cortland Regional Medical Center,0.044
0.00,Chenango Memorial Hospital,0.049
0.05,Canton-Potsdam Hospital,0.054
0.05,Jones Memorial Hospital,0.099
0.20,St James Hospital,0.214
-0.05,Mary Rutan Hospital,-0.018
0.00,Knox Community Hospital,0.01
0.00,Ashtabula County Medical Center,0.038
0.10,Southern Ohio Medical Center,0.108
0.10,Southeastern Ohio Regional Medical Center,0.109
0.10,Genesis Hospital,0.139
0.25,Coshocton Regional Medical Center,0.27
0.30,OhioHealth O'Bleness Hospital,0.308
-0.10,Integris Miami Hospital,-0.074
-0.05,"Duncan Regional Hospital, Inc",-0.034
-0.05,McAlester Regional Health Center,-0.016
-0.05,Integris Grove Hospital,-0.014
-0.05,Mercy Hospital Ada,-0.005
-0.05,Jackson County Memorial Hospital Authority,-0.001
0.00,Great Plains Regional Medical Center,0.012
0.00,Elkview General Hospital,0.023
0.00,Northeastern Health System,0.029
0.00,"Mercy Hospital Ardmore, Inc",0.047
0.05,Ascension St John Jane Phillips,0.06
0.05,Grady Memorial Hospital,0.064
0.05,Alliancehealth Woodward,0.085
0.10,Alliancehealth Ponca City,0.113
0.10,Stillwater Medical Center,0.127
-0.10,Bay Area Hospital,-0.095
0.00,Mid-Columbia Medical Center,0.017
0.05,Sky Lakes Medical Center,0.05
0.05,"Saint Alphonsus Medical Center - Ontario, Inc",0.092
0.20,Mercy Medical Center,0.205
-0.10,UPMC Kane,-0.08
0.00,UPMC Bedford Memorial,0.024
0.00,Penn Highlands Huntingdon,0.036
0.00,Indiana Regional Medical Center,0.046
0.00,Wayne Memorial Hospital,0.049
0.05,Penn Highlands Dubois,0.07
0.05,Meadville Medical Center,0.07
0.05,Punxsutawney Area Hospital,0.072
0.05,Clarion Hospital,0.073
0.05,UPMC Somerset,0.097
0.10,Geisinger-Lewistown Hospital,0.138
-0.15,MUSC Health Lancaster Medical Center,-0.124
-0.15,Prisma Health Oconee Memorial Hospital,-0.105
-0.10,The Regional Medical Center of Orangeburg- Calhoun,-0.065
0.00,Colleton Medical Center,0.014
0.00,Newberry County Memorial Hospital,0.024
0.00,Beaufort County Memorial Hospital,0.039
0.10,Self Regional Healthcare,0.115
0.10,Hampton Regional Medical Center,0.134
0.20,Prisma Health Laurens County Hospital,0.21
0.00,Monument Health Spearfish Hospital,0.047
0.05,Avera St Mary's Hospital,0.06
0.05,Prairie Lakes Hospital,0.064
0.10,Avera Sacred Heart Hospital,0.116
0.10,Brookings Health System,0.12
-0.15,Wayne Medical Center,-0.123
-0.10,West Tennessee Healthcare Dyersburg Hospital,-0.063
0.00,Cookeville Regional Medical Center,0.008
0.00,Cumberland Medical Center,0.021
0.05,Tennova Healthcare Lafollette Medical Center,0.072
-0.10,Brownfield Regional Medical Center,-0.099
-0.10,"Scenic Mountain Medical Center, A Steward Family H",-0.098
-0.10,Covenant Hospital Plainview,-0.081
-0.10,North Texas Medical Center,-0.061
-0.05,Titus Regional Medical Center,-0.011
-0.05,Val Verde Regional Medical Center,-0.009
0.00,Stephens Memorial Hospital,0.024
0.00,Rolling Plains Memorial Hospital,0.027
0.00,Seymour Hospital,0.038
0.00,UT Health East Texas Jacksonville Hospital,0.038
0.00,Methodist Hospital | Atascosa,0.042
0.00,Palestine Regional Medical Center,0.048
0.05,Christus Jasper Memorial Hospital,0.05
0.05,Hemphill County Hospital,0.054
0.05,Medical Arts Hospital,0.06
0.05,Tyler County Hospital,0.061
0.05,Permian Regional Medical Center Andrews County Ho,0.065
0.05,Memorial Hospital,0.066
0.05,CHI St Lukes Health Memorial Livingston,0.072
0.05,Graham Regional Medical Center,0.073
0.05,Texas Health Harris Methodist Hospital Stephenvill,0.096
0.05,Faith Community Hospital,0.097
0.10,Wilbarger General Hospital,0.11
0.10,Matagorda Regional Medical Center,0.112
0.10,Christus Spohn Hospital Beeville,0.112
0.10,Lamb Healthcare Center,0.118
0.10,UT Health East Texas Carthage Hospital,0.123
0.10,Hendrick Medical Center Brownwood,0.123
0.10,Columbus Community Hospital,0.133
0.10,Christus Spohn Hospital Kleberg,0.141
0.15,Starr County Memorial Hospital,0.152
0.15,Christus Mother Frances Hospital Sulphur Springs,0.18
0.15,Paris Regional Medical Center,0.193
0.15,Christus Spohn Hospital Alice,0.197
0.20,Nocona General Hospital,0.239
0.25,Eastland Memorial Hospital,0.25
0.25,Fort Duncan Medical Center,0.261
0.25,El Campo Memorial Hospital,0.298
0.30,Childress Regional Medical Center,0.304
0.10,Uintah Basin Medical Center,0.103
0.15,Sevier Valley Hospital,0.19
0.20,Castleview Hospital,0.249
0.25,Ashley Regional Medical Center,0.292
0.40,Cedar City Hospital,0.416
-0.25,Bon Secours Southampton Memorial Hospital,-0.204
-0.20,Community Memorial Hospital,-0.154
-0.05,Sentara Halifax Regional Hospital,-0.035
-0.05,VCU Health Tappahannock Hospital,-0.029
-0.05,Twin County Regional Hospital,-0.002
0.00,Buchanan General Hospital,0.024
0.10,Lewisgale Hospital Alleghany,0.103
0.10,Wythe County Community Hospital,0.124
0.10,Riverside Shore Memorial Hospital,0.133
0.15,"Southside Community Hospital, Inc",0.19
0.25,Lonesome Pine Hospital,0.267
-0.05,Northwestern Medical Center Inc,-0.011
-0.05,Rutland Regional Medical Center,-0.006
0.00,Central Vermont Medical Center,0.007
0.00,Southwestern Vermont Medical Center,0.027
-0.05,Grays Harbor Community Hospital,-0.05
0.00,Olympic Medical Center,0.022
0.05,Samaritan Hospital,0.079
0.10,Providence Centralia Hospital,0.128
-0.05,Marshfield Medical Center,-0.006
0.00,Aspirus Rhinelander Hospital,0.003
0.00,Aurora Medical Center Bay Area,0.017
0.00,Howard Young Medical Ctr,0.02
0.00,Mile Bluff Medical Center,0.025
0.00,Marshfield Medical Center - Rice Lake,0.034
0.00,Davis Medical Center,0.004
0.00,Princeton Community Hospital,0.046
0.05,Logan Regional Medical Center,0.055
0.05,Welch Community Hospital,0.062
0.10,Wetzel County Hospital,0.119
0.10,"Camc Greenbrier Valley Medical Center, Inc",0.133
-0.05,Campbell County Memorial Hospital,-0.03
0.00,Memorial Hospital Sweetwater County,0.004
0.00,Sheridan Memorial Hospital,0.028
0.00,Sagewest Health Care,0.034
0.10,St Johns Medical Center,0.126
0.20,Ivinson Memorial Hospital,0.231
0.30,Evanston Regional Hospital,0.311
